"2023-06-08 at 11:54"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
12:04:13 -0.96 51.76 101.55
12:04:14 -0.55 51.76 101.55
12:04:15 -0.69 51.76 101.55
12:04:16 -0.80 51.76 101.52
12:04:17 -0.85 51.76 101.52
12:04:18 -0.87 51.76 101.55
12:04:19 -0.71 51.73 101.55
12:04:20 -0.85 51.73 101.55
12:04:21 -0.87 51.76 101.55
12:04:22 -0.29 51.76 101.55
12:04:23 -1.30 51.76 101.55
12:04:24 -0.74 51.76 101.52
12:04:25 -1.05 51.76 101.55
12:04:26 -0.66 51.76 101.52
12:04:27 -0.88 51.76 101.55
12:04:28 -0.65 51.76 101.52
12:04:29 -1.06 51.76 101.55
12:04:30 -0.88 51.76 101.55
12:04:31 -0.97 51.76 101.55
12:04:32 -0.86 51.76 101.55
12:04:33 -0.79 51.76 101.55
12:04:34 -0.97 51.76 101.55
12:04:36 -0.95 51.76 101.55
12:04:37 -0.88 51.76 101.55
12:04:38 -0.84 51.76 101.54
12:04:39 -0.88 51.76 101.56
12:04:40 -0.86 51.76 101.56
12:04:41 -0.88 51.76 101.56
12:04:42 -1.01 51.76 101.55
12:04:43 -1.08 51.76 101.55
12:04:44 -2.00 51.76 101.55
12:04:45 19.51 51.73 101.55
12:04:46 97.64 51.73 101.52
12:04:47 213.25 51.76 101.52
12:04:48 325.25 51.76 101.55
12:04:49 391.64 51.76 101.55
12:04:50 402.53 51.76 101.55
12:04:51 360.41 51.76 101.52
12:04:52 280.75 51.76 101.55
12:04:53 197.82 51.76 101.55
12:04:54 134.85 51.76 101.55
12:04:55 95.57 51.76 101.55
12:04:56 81.86 51.76 101.55
12:04:57 61.11 51.76 101.52
12:04:58 46.49 51.76 101.55
12:04:59 36.04 51.73 101.55
12:05:00 28.04 51.73 101.55
12:05:01 21.74 51.76 101.52
12:05:02 16.41 51.76 101.55
12:05:03 12.97 51.76 101.52
12:05:04 9.91 51.76 101.55
12:05:05 7.67 51.76 101.55
12:05:06 5.39 51.76 101.55
12:05:07 4.35 51.76 101.54
12:05:08 3.32 51.76 101.56
12:05:09 2.19 51.76 101.56
12:05:10 1.97 51.76 101.56
12:05:11 0.90 51.76 101.56
12:05:12 0.96 51.76 101.55
12:05:13 0.03 51.76 101.52
12:05:14 1.03 51.76 101.55
12:05:15 34.22 51.76 101.52
12:05:16 118.65 51.76 101.55
12:05:17 231.01 51.76 101.55
12:05:18 336.92 51.76 101.52
12:05:19 397.45 51.76 101.52
12:05:20 400.51 51.76 101.55
12:05:21 352.59 51.76 101.55
12:05:22 273.71 51.76 101.52
12:05:23 194.35 51.76 101.52
12:05:24 133.97 51.76 101.55
12:05:25 95.58 51.73 101.55
12:05:26 71.52 51.73 101.55
12:05:27 54.64 51.76 101.55
12:05:28 42.45 51.76 101.55
12:05:29 33.44 51.76 101.55
12:05:30 26.00 51.76 101.55
12:05:31 19.75 51.76 101.52
12:05:32 15.44 51.76 101.52
12:05:33 12.13 51.76 101.55
12:05:34 9.48 51.76 101.55
12:05:35 7.53 51.76 101.55
12:05:36 5.66 51.76 101.55
12:05:37 4.11 51.76 101.55
12:05:38 3.34 51.76 101.52
12:05:39 2.36 51.73 101.55
12:05:40 2.04 51.73 101.52
12:05:41 1.28 51.76 101.55
12:05:42 0.89 51.76 101.52
12:05:43 0.36 51.76 101.55
12:05:44 0.44 51.76 101.55
12:05:45 0.15 51.76 101.52
12:05:46 0.24 51.76 101.55
12:05:47 -0.20 51.73 101.52
12:05:49 -0.39 51.73 101.55
12:05:50 -0.35 51.76 101.55
12:05:51 -0.42 51.76 101.52
12:05:52 -0.48 51.73 101.52
12:05:53 -0.85 51.73 101.52
12:05:54 -0.36 51.76 101.55
12:05:55 -0.85 51.76 101.55
12:05:56 -0.57 51.76 101.55
12:05:57 -0.41 51.76 101.55
12:05:58 -1.19 51.76 101.52
12:05:59 -0.52 51.76 101.55
12:06:00 -0.62 51.76 101.56
12:06:01 -0.84 51.76 101.54
12:06:02 -1.10 51.76 101.54
12:06:03 -1.06 51.76 101.55
12:06:04 -0.48 51.76 101.55
12:06:05 -0.80 51.76 101.55
12:06:06 -1.64 51.76 101.52
12:06:07 19.03 51.76 101.55
12:06:08 93.47 51.76 101.55
12:06:09 215.31 51.76 101.55
12:06:10 330.80 51.76 101.55
12:06:11 394.87 51.76 101.55
12:06:12 406.14 51.76 101.55
12:06:13 366.08 51.76 101.55
12:06:14 283.76 51.76 101.52
12:06:15 197.10 51.76 101.52
12:06:16 134.08 51.76 101.55
12:06:17 95.27 51.73 101.55
12:06:18 69.99 51.73 101.55
12:06:19 53.07 51.76 101.55
12:06:20 41.47 51.76 101.55
12:06:21 31.34 51.76 101.52
12:06:22 24.33 51.76 101.52
12:06:23 18.86 51.76 101.55
12:06:24 14.30 51.76 101.55
12:06:25 10.92 51.76 101.52
12:06:26 8.57 51.76 101.55
12:06:27 6.60 51.76 101.55
12:06:28 5.07 51.76 101.52
12:06:29 3.47 51.76 101.55
12:06:30 2.85 51.76 101.55
12:06:31 2.09 51.76 101.52
12:06:32 1.09 51.76 101.55
12:06:33 0.94 51.76 101.52
12:06:34 0.73 51.76 101.52
12:06:35 0.21 51.76 101.52
12:06:36 -0.02 51.76 101.52
12:06:37 -0.07 51.76 101.52
12:06:38 -0.33 51.76 101.52
12:06:39 -0.58 51.76 101.52
12:06:40 -0.40 51.76 101.55
12:06:41 -0.66 51.76 101.55
12:06:42 -0.46 51.76 101.55
12:06:43 -0.62 51.76 101.55
12:06:44 -0.77 51.76 101.55
12:06:45 -0.37 51.76 101.55
12:06:46 -0.78 51.76 101.55
12:06:47 -0.87 51.76 101.55
12:06:48 -0.67 51.76 101.55
12:06:49 -0.63 51.76 101.55
12:06:50 -1.19 51.76 101.55
12:06:51 -0.60 51.76 101.55
12:06:52 -0.72 51.76 101.55
12:06:53 -1.17 51.76 101.52
12:06:54 -0.95 51.76 101.52
12:06:55 -0.82 51.76 101.55
12:06:56 -0.55 51.76 101.55
12:06:57 -0.75 51.76 101.52
12:06:58 -0.75 51.76 101.55
12:06:59 -1.10 51.76 101.55
12:07:01 -0.66 51.76 101.52
12:07:02 -1.18 51.76 101.55
12:07:03 -0.70 51.73 101.56
12:07:04 -1.13 51.73 101.54
12:07:05 -0.74 51.76 101.56
12:07:06 -0.85 51.76 101.56
12:07:07 -0.71 51.76 101.52
12:07:08 -0.68 51.76 101.52
12:07:09 -1.75 51.76 101.52
12:07:10 20.20 51.76 101.55
12:07:11 108.33 51.76 101.55
