"2022-03-30 at 14:38"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
14:45:17 76.38 51.73 101.51
14:45:18 68.29 51.73 101.51
14:45:19 59.73 51.73 101.51
14:45:20 52.69 51.73 101.51
14:45:21 45.56 51.73 101.51
14:45:22 39.43 51.73 101.51
14:45:23 34.90 51.73 101.51
14:45:24 29.87 51.73 101.51
14:45:25 26.13 51.73 101.51
14:45:26 22.98 51.73 101.51
14:45:27 19.89 51.73 101.51
14:45:28 17.40 51.73 101.51
14:45:29 15.21 51.73 101.51
14:45:30 13.18 51.73 101.51
14:45:31 11.80 51.73 101.51
14:45:32 10.22 51.73 101.51
14:45:34 8.91 51.73 101.51
14:45:35 7.99 51.73 101.51
14:45:36 6.90 51.73 101.51
14:45:37 6.20 51.73 101.51
14:45:38 5.54 51.73 101.51
14:45:39 4.37 51.73 101.51
14:45:40 4.36 51.73 101.51
14:45:41 3.91 51.76 101.51
14:45:42 3.39 51.73 101.51
14:45:43 3.09 51.73 101.51
14:45:44 2.97 51.73 101.51
14:45:45 2.62 51.73 101.51
14:45:46 2.23 51.73 101.51
14:45:47 2.31 51.73 101.51
14:45:48 2.21 51.73 101.51
14:45:49 2.01 51.73 101.51
14:45:50 1.82 51.73 101.51
14:45:51 1.42 51.73 101.51
14:45:52 1.30 51.73 101.51
14:45:53 1.64 51.73 101.51
14:45:54 1.45 51.73 101.51
14:45:55 1.15 51.73 101.51
14:45:56 1.40 51.73 101.51
14:45:57 1.42 51.73 101.51
14:45:58 1.18 51.73 101.52
14:45:59 1.15 51.73 101.51
14:46:00 1.13 51.73 101.51
14:46:01 1.22 51.73 101.51
14:46:02 0.87 51.73 101.51
14:46:03 1.03 51.73 101.51
14:46:04 0.86 51.73 101.51
14:46:05 1.12 51.73 101.51
14:46:06 1.19 51.73 101.51
14:46:07 0.67 51.73 101.51
14:46:08 1.15 51.73 101.51
14:46:09 1.16 51.73 101.51
14:46:10 1.09 51.73 101.51
14:46:11 3.36 51.73 101.51
14:46:12 9.17 51.73 101.51
14:46:13 19.01 51.73 101.51
14:46:14 31.33 51.73 101.51
14:46:15 43.53 51.73 101.51
14:46:16 54.58 51.73 101.51
14:46:17 63.91 51.73 101.51
14:46:18 71.61 51.73 101.51
14:46:19 77.69 51.73 101.51
14:46:20 82.36 51.73 101.51
14:46:21 84.35 51.73 101.51
14:46:22 83.03 51.73 101.51
14:46:23 79.87 51.73 101.51
14:46:24 73.40 51.73 101.51
